index,time_seconds
0,23.933968
1,24.607347
2,25.994739
3,26.697143
4,28.061315
5,29.088798
6,29.350023
7,30.481995
8,31.178594
9,32.914286
10,33.100045
11,33.262585
12,34.179773
13,34.307483
14,35.213061
15,35.375601
16,37.291247
17,37.442177
18,39.021134
19,39.172063
20,39.520363
21,40.054422
22,41.430204
23,43.537415
24,43.688345
25,44.007619
26,45.766531
27,47.496417
28,47.815692
29,47.972426
30,48.727075
31,49.412063
32,49.847438
33,50.851701
34,51.884989
35,52.895057
36,53.922540
37,55.809161
38,55.948481
39,57.951202
40,58.839365
41,59.506939
42,59.663673
43,59.988753
44,60.116463
45,61.892789
46,62.061134
47,63.611066
48,64.092880
49,64.243810
50,65.787937
51,66.130431
52,68.197007
53,69.804989
54,72.179229
55,72.939683
56,74.361905
57,74.623129
58,77.299229
59,80.880907
60,81.577506
61,88.549297
62,88.694422
63,90.581043
64,90.737778
65,92.606984
66,94.394921
67,95.985488
68,96.217687
69,96.589206
70,96.949116
71,98.626757
72,98.800907
73,100.641088
74,102.347755
75,102.846984
76,103.769977
77,104.385306
78,105.064490
79,106.730522
80,106.875646
81,106.997551
82,108.750658
83,108.901587
84,109.157007
85,110.933333
86,112.297506
87,112.640000
88,112.970884
89,113.400454
90,113.975147
91,114.979410
92,115.496054
93,115.855964
94,116.349388
95,116.703492
96,117.487166
97,119.095147
98,120.261950
99,121.109478
100,122.142766
101,123.176054
102,124.186122
103,124.830476
104,125.039456
105,125.201995
106,126.066939
107,128.928798
108,129.120363
109,129.259683
110,129.921451
111,132.121542
112,132.800726
113,133.120000
114,133.288345
115,136.156009
116,137.160272
117,140.138231
118,141.223764
119,141.363084
120,142.361542
121,143.394830
122,144.433923
123,145.275646
124,146.332154
125,147.295782
126,148.305850
127,149.310113
128,150.006712
129,151.858503
130,152.502857
131,153.466485
132,154.476553
133,155.544671
134,156.508299
135,157.355828
136,157.529977
137,158.511020
138,158.917370
139,159.091519
140,161.593469
141,163.764535
142,165.157732
143,165.308662
144,165.494422
145,165.645351
146,167.514558
147,167.659683
148,169.569524
149,169.720454
150,171.247166
151,171.392290
152,171.520000
153,171.734785
154,172.634558
155,172.779683
156,173.812971
157,174.794014
158,175.687982
159,175.844717
160,177.742948
161,177.899683
162,179.914014
163,181.963175
164,186.067302
165,187.971338
166,189.161361
167,190.955102
168,191.779410
169,191.930340
170,192.365714
171,192.963628
172,193.567347
173,193.822766
174,194.972154
175,196.127347
176,196.812336
177,197.967528
178,198.977596
179,199.801905
180,199.964444
181,201.793016
182,201.943946
183,202.657959
184,203.801542
185,204.091791
186,204.817415
187,205.972608
188,207.963719
189,208.962177
190,209.113107
191,209.943220
192,210.935873
193,211.928526
194,212.892154
195,213.919637
196,215.788844
197,216.845351
198,217.373605
199,222.783855
200,222.940590
201,223.602358
202,223.764898
203,225.773424
204,226.766077
205,227.619410
206,228.606259
207,228.757188
208,229.105488
209,229.767256
210,231.769977
211,233.052880
212,233.586939
213,234.985941
214,236.576508
215,238.724354
216,239.734422
217,239.856327
218,241.394649
219,241.713923
220,242.776236
221,243.676009
222,243.826939
223,243.937234
224,244.784762
225,245.394286
226,245.533605
227,245.742585
228,245.951565
229,246.752653
230,247.112562
231,247.437642
232,247.774331
233,248.778594
234,249.800272
235,250.462041
236,250.676825
237,251.152834
238,251.512744
239,251.843628
240,252.847891
241,253.881179
242,254.885442
243,255.889705
244,256.911383
245,257.915646
246,258.374240
247,258.751565
248,259.244989
249,259.558458
250,259.889342
251,260.075102
252,260.922630
253,261.897868
254,262.530612
255,262.896327
256,263.755465
257,263.888980
258,264.852608
259,265.862676
260,266.716009
261,267.830567
262,269.351474
263,269.821678
264,270.611156
265,271.760544
266,271.940499
267,272.654512
268,273.745850
269,273.943220
270,274.604989
271,277.176599
272,279.272200
273,279.672744
274,280.322902
275,281.025306
276,281.338776
277,281.681270
278,282.203719
279,282.505578
280,283.335692
281,283.637551
282,284.624399
283,285.291973
284,285.605442
285,286.638730
286,287.631383
287,288.670476
288,289.686349
289,291.654240
290,293.610522
291,293.865941
292,294.469660
293,295.775782
294,298.388027
295,299.566440
296,302.242540
297,303.078458
298,303.566077
299,303.711202
300,306.422132
301,307.397370
302,307.530884
303,308.395828
304,309.539410
305,309.672925
306,310.386939
307,311.524717
308,312.685714
309,313.510023
310,314.514286
311,315.530159
312,316.389297
313,316.522812
314,317.172971
315,317.585125
316,319.611066
317,321.329342
318,321.445442
319,321.619592
320,323.378503
