index,time_seconds
0,54.944218
1,56.935329
2,58.984490
3,63.732971
4,65.114558
5,66.124626
6,67.697778
7,69.253515
8,69.921088
9,71.291066
10,73.340227
11,73.862676
12,74.210975
13,83.591837
14,85.490068
15,85.971882
16,86.633651
17,89.692880
18,101.825306
19,102.492880
20,105.836553
21,118.746848
22,119.727891
23,120.772789
24,133.613424
25,133.950113
26,134.101043
27,134.426122
28,134.565442
29,134.913741
30,136.301134
31,138.315465
32,139.162993
33,139.308118
34,140.364626
35,141.223764
36,141.339864
37,142.024853
38,142.547302
39,146.436644
40,148.456780
41,149.815147
42,150.169252
43,150.494331
44,151.486984
45,162.899592
46,163.224671
47,163.555556
48,164.606259
49,165.268027
50,168.687166
51,173.638821
52,179.414785
53,181.597460
54,185.626122
55,188.656327
56,188.993016
57,202.936599
58,203.952472
59,218.824853
60,220.490884
61,220.630204
62,220.949478
63,221.419683
64,224.763356
65,229.395737
66,232.768435
67,234.759546
68,237.046712
69,240.407800
70,267.656417
71,272.764807
72,275.696327
73,276.561270
74,277.008254
75,297.221224
76,300.564898
77,302.579229
78,313.480998
79,314.160181
