index,time_seconds
0,0.673379
1,1.143583
2,1.828571
3,2.472925
4,3.169524
5,3.837098
6,4.522086
7,5.282540
8,5.874649
9,7.302676
10,7.465215
11,8.643628
12,9.775601
13,10.054240
14,11.099138
15,11.319728
16,11.435828
17,12.277551
18,14.860771
19,15.563175
20,16.933152
21,18.337959
22,19.707937
23,21.083719
24,22.471111
25,22.645261
26,23.864308
27,24.822132
28,25.228481
29,25.373605
30,25.907664
31,26.598458
32,27.962630
33,29.373243
34,29.634467
35,30.743220
36,32.119002
37,32.310567
38,33.512200
39,34.348118
40,34.591927
41,34.899592
42,36.252154
43,36.948753
44,37.633741
45,38.992109
46,40.402721
47,40.669751
48,41.772698
49,43.160091
50,44.547483
51,45.934875
52,47.020408
53,47.304853
54,47.984036
55,48.669025
56,50.039002
57,50.224762
58,50.398912
59,51.147755
60,51.443810
61,52.807982
62,52.941497
63,53.870295
64,54.189569
65,55.240272
66,55.588571
67,56.970159
68,58.340136
69,59.013515
70,59.704308
71,61.062676
72,62.223673
73,62.479093
74,62.647438
75,63.849070
76,65.230658
77,66.623855
78,67.453968
79,70.042993
80,70.733787
81,72.092154
82,73.502766
83,73.682721
84,74.402540
85,74.878549
86,75.946667
87,76.265941
88,76.573605
89,77.212154
90,77.653333
91,79.046531
92,80.312018
93,80.509388
94,81.084082
95,81.780680
96,83.121633
97,84.555465
98,84.688980
99,85.890612
100,86.105397
101,86.639456
102,87.034195
103,87.307029
104,88.346122
105,88.531882
106,88.688617
107,89.460680
108,92.113560
109,92.810159
110,94.168526
111,95.579138
112,96.960726
113,97.198730
114,98.185578
115,98.342313
116,98.644172
117,99.572971
118,99.729705
119,100.501769
120,100.728163
121,101.105488
122,102.382585
123,102.562540
124,103.160454
125,103.851247
126,105.209615
127,106.626032
128,106.991746
129,107.514195
130,107.990204
131,109.052517
132,109.383401
133,110.764989
134,111.757642
135,112.152381
136,113.516553
137,113.661678
138,114.195737
139,114.886531
140,115.652789
141,116.140408
142,116.239093
143,117.661315
144,119.025488
145,120.412880
146,121.231383
147,121.794467
148,121.980227
149,122.717460
150,125.213605
151,125.921814
152,126.426848
153,127.280181
154,128.696599
155,128.957823
156,130.072381
157,130.931519
158,131.274014
159,131.448163
160,131.633923
161,132.493061
162,132.823946
163,133.607619
164,136.243084
165,136.957098
166,138.327075
167,139.731882
168,141.072834
169,142.483447
170,143.870839
171,144.010159
172,145.264036
173,146.622404
174,147.301587
175,147.992381
176,148.921179
177,149.344943
178,150.767166
179,150.935510
180,152.137143
181,152.984671
182,153.518730
183,153.698685
184,154.906122
185,155.985850
186,156.293515
187,157.663492
188,158.336871
189,158.551655
190,159.027664
191,160.386032
192,161.802449
193,163.143401
194,164.559819
195,165.656961
196,165.941406
197,166.713469
198,169.366349
199,170.045533
200,171.438730
201,172.204989
202,172.837732
203,173.006077
204,174.213515
205,174.393469
206,175.322268
207,175.595102
208,176.976689
209,178.364082
210,179.455420
211,179.629569
212,179.832744
213,180.413243
214,181.104036
215,182.468209
216,183.849796
217,185.242993
218,185.486803
219,186.386576
220,186.554921
221,186.705850
222,187.663673
223,188.017778
224,189.085896
225,189.405170
226,190.769342
227,191.442721
228,192.139320
229,193.509297
230,194.914104
231,196.278277
232,196.522086
233,197.387029
234,197.671474
235,199.053061
236,200.092154
