index,time_seconds
0,0.719819
1,0.766259
2,2.414875
3,3.767438
4,5.154830
5,5.230295
6,5.804989
7,6.542222
8,6.594467
9,9.346032
10,9.920726
11,10.721814
12,11.987302
13,12.115011
14,14.019048
15,16.224943
16,17.589116
17,17.635556
18,18.999728
19,21.762902
20,22.099592
21,22.384036
22,23.150295
23,24.497052
24,24.856961
25,27.277642
26,27.898776
27,28.670839
28,30.650340
29,31.416599
30,32.786576
31,34.173968
32,35.578776
33,35.909660
34,38.260680
35,38.336145
36,38.928254
37,39.682902
38,42.469297
39,43.740590
40,43.955374
41,45.191837
42,46.619864
43,46.933333
44,49.272744
45,49.377234
46,49.928707
47,50.729796
48,51.345125
49,51.635374
50,52.105578
51,53.498776
52,54.108299
53,54.903583
54,56.256145
55,57.655147
56,57.991837
57,58.276281
58,58.554921
59,60.406712
60,61.701224
61,61.776689
62,63.140862
63,63.756190
64,64.336689
65,64.528254
66,64.859138
67,65.143583
68,65.898231
69,68.034467
70,68.614966
71,69.276735
72,69.839819
73,71.447800
74,72.777143
75,73.334422
76,74.100680
77,74.176145
78,74.791474
79,75.499683
80,75.569342
81,75.958277
82,76.161451
83,76.939320
84,77.339864
85,77.572063
86,78.297687
87,78.971066
88,79.725714
89,80.050794
90,82.436644
91,83.853061
92,84.189751
93,84.688980
94,85.135964
95,85.199819
96,85.844172
97,86.604626
98,87.202540
99,88.311293
100,88.601542
101,89.327166
102,91.277642
103,93.437098
104,93.518367
105,94.812880
106,94.882540
107,96.281542
108,97.610884
109,98.261043
110,100.414694
111,101.720816
112,101.825306
113,102.103946
114,104.449161
115,105.923628
116,107.281995
117,110.103220
118,111.438367
119,112.082721
120,112.785125
121,113.150839
122,113.458503
123,114.811066
124,115.565714
125,116.157823
126,116.912472
127,116.964717
128,118.114104
129,118.241814
130,118.317279
131,119.704671
132,121.086259
133,122.363356
134,122.479456
135,123.367619
136,123.634649
137,123.890068
138,124.151293
139,124.604082
140,126.624218
141,127.930340
142,127.994195
143,128.464399
144,129.306122
145,129.358367
146,129.735692
147,132.115737
148,133.474104
149,134.519002
150,135.215601
151,135.703220
152,139.041088
153,140.341406
154,140.399456
155,141.781043
156,143.156825
157,143.795374
158,144.526803
159,145.890975
160,146.256689
161,148.178141
162,148.665760
163,149.054694
164,149.269478
165,150.012517
166,150.064762
167,150.680091
168,151.278005
169,151.434739
170,151.933968
171,152.816327
172,153.425850
173,154.192109
174,154.528798
175,155.538866
176,156.229660
177,156.932063
178,156.984308
179,157.303583
180,157.593832
181,158.168526
182,159.660408
183,159.730068
184,160.298957
185,161.088435
186,161.407710
187,162.475828
188,162.644172
189,162.795102
190,163.874830
191,164.472744
192,165.128707
193,165.221587
194,165.569887
195,166.591565
196,167.793197
197,167.915102
198,168.031202
199,168.698776
200,170.684082
201,170.771156
202,171.351655
203,172.065669
204,172.129524
205,173.499501
206,174.103220
207,174.898503
208,175.537052
209,176.227846
210,177.650068
211,179.049070
212,179.362540
213,179.676009
214,181.725170
215,181.794830
216,182.410159
217,183.124172
218,183.170612
219,184.534785
220,185.126893
221,186.258866
222,186.554921
223,187.274739
224,187.924898
225,188.679546
226,190.084354
227,190.403628
228,192.841723
229,193.445442
230,194.147846
231,194.217506
232,195.587483
233,196.179592
234,196.957460
235,197.555374
236,198.310023
237,198.954376
238,199.604535
239,199.720635
240,201.694331
