index,time_seconds
0,0.870748
1,1.137778
2,1.816961
3,2.490340
4,3.169524
5,3.825488
6,4.516281
7,5.880454
8,8.666848
9,10.048435
10,11.412608
11,14.866576
12,15.551565
13,16.927347
14,18.314739
15,19.696327
16,21.083719
17,22.465306
18,25.211066
19,25.884444
20,26.575238
21,27.968435
22,29.367438
23,30.731610
24,33.500590
25,37.604717
26,41.766893
27,43.160091
28,44.547483
29,45.923265
30,47.304853
31,47.972426
32,50.039002
33,51.432200
34,54.189569
35,55.571156
36,58.334331
37,59.698503
38,61.074286
39,65.230658
40,70.048798
41,70.733787
42,72.097959
43,73.508571
44,74.878549
45,76.265941
46,77.647528
47,79.011701
48,81.084082
49,81.757460
50,83.133243
51,84.520635
52,85.913832
53,87.295420
54,88.682812
55,92.107755
56,92.798549
57,95.567528
58,96.949116
59,98.342313
60,99.706485
61,102.463855
62,103.125624
63,103.839637
64,105.221224
65,106.602812
66,107.984399
67,109.377596
68,110.753379
69,113.510748
70,114.184127
71,114.851701
72,116.239093
73,119.025488
74,120.407075
75,121.771247
76,125.213605
77,125.910204
78,130.043356
79,131.448163
80,132.823946
81,136.260499
82,136.951293
83,138.315465
84,139.726077
85,141.090249
86,142.483447
87,143.853424
88,145.194376
89,146.610794
90,147.295782
91,147.980771
92,152.131338
93,153.512925
94,156.276100
95,158.307846
96,159.016054
97,160.391837
98,161.796644
99,163.166621
100,164.548209
101,165.929796
102,169.366349
103,170.057143
104,171.415510
105,172.837732
106,174.207710
107,175.566077
108,176.965079
109,180.407438
110,181.092426
111,182.450794
112,185.237188
113,186.624580
114,188.000363
115,190.757732
116,192.104490
117,193.509297
118,196.278277
119,197.665669
120,200.933878
